ID,Tipo,SKU Padre,SKU hijo,Nombre,Publicado 0/1,Descripción corta - producto,Precio rebajado,Precio normal,Categorías,Imágenes,Etiquetas,Inventario,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Atributo por defecto 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,Atributo por defecto 3
53,variation,RN7,RN71-7-1/2,Anillo Caria Cruzado,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro Amarillo de 18 kilates con un lujoso engaste cruzado con circones. Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro Amarillo de 18 kilates
Dimensiones: 15mm ancho x 2mm grosor
Tallas: 6 1/2 - 7 1/2
",,1100000,,,,2,Talla,7 1/2,,1,,Material,Oro Amarillo,,1,,,,,,
54,variable,RN8,,Anillo Himera,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro de 18 kilates con un lujoso engaste en uñas que le dan vida a una línea de circones rojos sin fin. Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro de 18 kilates
Dimensiones: 3.5mm ancho x 2.2mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2
",,,Anillos>Golden Hour Treasures,"RN8-1P.jpg,RN81M.jpg,RN8-1P1.jpg","Joyería acabada a mano con materiales de primera calidad, Compra de forma segura y protegida, Cada joya es entregada en un empaque de alta categoría, Envíos a todo el país, Personaliza esta pieza",,Talla,6 - 6-1/2 - 7 - 7-1/2,,1,,Material ,Oro Amarillo,,1,,,,,,
55,variation,RN8,R81-6,Anillo Himera,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro Amarillo de 18 kilates con un lujoso engaste en uñas que le dan vida a una línea de circones rojos sin fin. Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro Amarillo de 18 kilates
Dimensiones: 3.5mm ancho x 2.2mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2
",,750000,,,,2,Talla,6,,1,,Material,Oro Amarillo,,1,,,,,,
56,variation,RN8,RN81-6-1/2,Anillo Himera,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro Amarillo de 18 kilates con un lujoso engaste en uñas que le dan vida a una línea de circones rojos sin fin. Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro Amarillo de 18 kilates
Dimensiones: 3.5mm ancho x 2.2mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2
",,750000,,,,2,Talla,6-1/2,,1,,Material,Oro Amarillo,,1,,,,,,
57,variation,RN8,RN81-7,Anillo Himera,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro Amarillo de 18 kilates con un lujoso engaste en uñas que le dan vida a una línea de circones rojos sin fin. Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro Amarillo de 18 kilates
Dimensiones: 3.5mm ancho x 2.2mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2
",,785000,,,,2,Talla,7,,1,,Material,Oro Amarillo,,1,,,,,,
58,variation,RN8,RN81-7-1/2,Anillo Himera,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro Amarillo de 18 kilates con un lujoso engaste en uñas que le dan vida a una línea de circones rojos sin fin. Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro Amarillo de 18 kilates
Dimensiones: 3.5mm ancho x 2.2mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2
",,785000,,,,2,Talla,7-1/2,,1,,Material,Oro Amarillo,,1,,,,,,
59,variable,RN9,,Anillo Alalia,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro de 18 kilates con un lujoso engaste pavé que le da vida a una línea de circones blancos sin fin.  Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro de 18 kilates
Dimensiones: 1.9mm ancho x 1.7mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2

",,,Anillos>Golden Hour Treasures,"RN9-3P.jpg,RN93M.jpg,RN9-3P1.jpg","Joyería acabada a mano con materiales de primera calidad, Compra de forma segura y protegida, Cada joya es entregada en un empaque de alta categoría, Envíos a todo el país, Personaliza esta pieza",,Talla,6 - 6-1/2 - 7 - 7-1/2,,1,,Material ,Oro Amarillo,,1,,,,,,
60,variation,RN9,R91-6,Anillo Alalia,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro amarillo de 18 kilates con un lujoso engaste pavé que le da vida a una línea de circones blancos sin fin.  Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro Amarillo de 18 kilates
Dimensiones: 1.9mm ancho x 1.7mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2

",,570000,,,,2,Talla,6,,1,,Material,Oro Amarillo,,1,,,,,,
61,variation,RN9,RN91-6-1/2,Anillo Alalia,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro amarillo de 18 kilates con un lujoso engaste pavé que le da vida a una línea de circones blancos sin fin.  Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro Amarillo de 18 kilates
Dimensiones: 1.9mm ancho x 1.7mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2

",,570000,,,,2,Talla,6-1/2,,1,,Material,Oro Amarillo,,1,,,,,,
62,variation,RN9,RN91-7,Anillo Alalia,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro amarillo de 18 kilates con un lujoso engaste pavé que le da vida a una línea de circones blancos sin fin.  Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro Amarillo de 18 kilates
Dimensiones: 1.9mm ancho x 1.7mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2

",,605000,,,,2,Talla,7,,1,,Material,Oro Amarillo,,1,,,,,,
63,variation,RN9,RN91-7-1/2,Anillo Alalia,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro amarillo de 18 kilates con un lujoso engaste pavé que le da vida a una línea de circones blancos sin fin.  Elaborado para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  

Pedrería: Circones
Material: Oro Amarillo de 18 kilates
Dimensiones: 1.9mm ancho x 1.7mm grosor
Tallas: 6 - 6 1/2 - 7 - 7 1/2

",,605000,,,,2,Talla,7-1/2,,1,,Material,Oro Amarillo,,1,,,,,,
64,variable,RN10,,Anillo Young Love ,1,"Love is simple and kind

Anillo en Oro de 18 kilates con un sutil corazón liso y central que cautivará los gustos más delicados.

¡Personaliza esta pieza!

Detalles del producto:  
 
Material: Oro de 18 kilates
Dimensiones: 1.9mm ancho x 1.7mm grosor
Tallas: 5 1/2 - 6 - 6 1/2
",,,Anillos>Golden Hour Treasures,"RN10-3P1.jpg,RN103M-1.jpg,RN10-3P.jpg,RN103M.jpg","Joyería acabada a mano con materiales de primera calidad, Compra de forma segura y protegida, Cada joya es entregada en un empaque de alta categoría, Envíos a todo el país, Personaliza esta pieza",,Talla,5 1/2 - 6 - 6 1/2,,1,,Material ,Oro Rosado ,,1,,,,,,
65,variation,RN10,R103-5 1/2,Anillo Young Love in Rose,1,"Love is simple and kind

Anillo en Oro Rosa de 18 kilates con un sutil corazón liso y central que cautivará los gustos más delicados.

¡Personaliza esta pieza!

Detalles del producto:  
 
Material: Oro Rosa de 18 kilates
Dimensiones: 1.9mm ancho x 1.7mm grosor
Tallas: 5 1/2 - 6 - 6 1/2",,720000,,,,2,Talla,5 1/2,,1,,Material,Oro Rosado ,,1,,,,,,
66,variation,RN10,RN103-6,Anillo Young Love in Rose,1,"Love is simple and kind

Anillo en Oro Rosa de 18 kilates con un sutil corazón liso y central que cautivará los gustos más delicados.

¡Personaliza esta pieza!

Detalles del producto:  
 
Material: Oro Rosa de 18 kilates
Dimensiones: 1.9mm ancho x 1.7mm grosor
Tallas: 5 1/2 - 6 - 6 1/2",,720000,,,,2,Talla,6,,1,,Material,Oro Rosado ,,1,,,,,,
67,variation,RN10,RN103-6 1/2,Anillo Young Love in Rose,1,"Love is simple and kind

Anillo en Oro Rosa de 18 kilates con un sutil corazón liso y central que cautivará los gustos más delicados.

¡Personaliza esta pieza!

Detalles del producto:  
 
Material: Oro Rosa de 18 kilates
Dimensiones: 1.9mm ancho x 1.7mm grosor
Tallas: 5 1/2 - 6 - 6 1/2",,755000,,,,2,Talla,6 1/2,,1,,Material,Oro Rosado ,,1,,,,,,
68,variable,RN11,,Anillo Green Cyprus,1,"Una genuina y delicada obra, única como tú. 

Anillo en Oro de 18 kilates con un lujoso engaste pavé que le dan vida a una media luna de circones verdes. Una pieza elaborada para sorprender y cautivar. 

¡Personaliza esta pieza!

Detalles del producto:  
  
Pedrería: Circones
Material: Oro de 18 kilates 
Dimensiones: 2mm ancho x 1mm grosor
Tallas: 5 1/2 - 6 - 6 1/2",,,Anillos>Golden Hour Treasures,"RN11-1P.jpg,RN111M.jpg,RN11-1P1.jpg","Joyería acabada a mano con materiales de primera calidad, Compra de forma segura y protegida, Cada joya es entregada en un empaque de alta categoría, Envíos a todo el país, Personaliza esta pieza",,Talla,5 1/2 - 6 - 6 1/2,,1,,Material ,Oro Amarillo,,1,,,,,,
